meanfreq,sd,median,Q25,Q75,IQR,skew,dfrange,mindom,maxdom,output
-435.518104,-14.6206636,26.29115754,-35.33013798,32.19877889,-19.67287174,19.02479068,1.389957478,-1.840158591,5.305392305,1
-425.413774,-27.1327836,23.80111568,-24.35239978,43.29022289,-27.05791574,10.76892358,-5.747192672,-2.709394591,10.21258801,1
-440.046894,-20.4418636,13.04272298,-28.91310478,40.11326689,-28.73141074,26.79201758,-12.85095767,11.96322658,2.924920035,1
-441.625644,8.953386396,-38.35655502,27.88299222,-19.97511511,-9.692923271,25.33328858,-26.88580467,27.42945441,-9.028329995,1
-523.744454,4.522076396,2.51112898,-23.60455478,-17.24444511,-1.333515741,-4.301496423,-10.87891817,-7.656378591,-3.638945295,1
-405.222404,14.5161364,2.26350498,-14.94340278,11.70380459,-11.31263004,0.502735577,2.210205028,2.625105409,-0.604923495,1
-619.483324,7.699896396,44.43098998,-2.905310777,-16.78956011,29.38716726,-5.149312423,-5.730097672,12.80563498,-2.816048995,1
-470.798174,-47.0781636,5.99105198,19.84794622,-19.84778511,22.58119526,-12.01370442,15.18411683,-2.433270591,2.442677605,1
-588.135824,4.652306396,16.81194498,-8.866372777,8.696846191,8.493571259,-7.240464423,14.38088633,-1.689075591,7.902114605,1
-584.402914,-26.3546176,-38.53134002,0.251202223,-9.146648109,-26.24391474,-11.59289742,-0.292167772,-15.30838259,-4.727388595,1
-536.668754,3.469046396,11.74256298,13.08841722,-5.999982109,-0.675818741,1.655826577,-2.615841372,-3.886706591,-0.112713295,1
-561.577934,-14.1103736,7.20496998,25.63786222,5.122267391,-5.526686441,-1.701753423,-1.198804872,-0.862337591,0.428026505,1
-475.642534,17.5989264,-22.24729002,8.293347223,-1.812665109,6.915495259,-0.230924423,-2.907351972,-5.919415591,8.457426005,1
-511.624984,-20.3676336,-2.24719702,15.28592222,-13.39739911,7.536728259,2.845104577,0.280348328,6.232033409,1.772235805,1
-512.440154,-16.0919936,-37.48451502,-8.274827777,-15.00241011,-0.986297741,-9.905145423,-6.649978172,-0.344039591,2.580925075,1
-473.606794,14.6316464,11.31976698,11.63024222,-15.47164811,22.77770926,-3.384282423,13.63125733,1.580162409,5.704749005,1
-457.123734,-5.948593604,-31.72372302,-3.458897777,-27.89170511,-8.630484941,-18.88422142,-9.222148672,-16.68993459,-5.905577995,1
-346.163084,-18.5101336,-3.87580002,24.06833222,-10.45893811,18.27362126,-5.763023423,11.00350633,-3.125735591,-5.741487995,1
-401.455124,16.2835264,-19.05506002,-4.420199777,3.240379891,-24.62981374,-5.094892423,-0.347780972,5.008524109,-1.974016995,1
-537.468154,14.1683864,20.46663228,3.898766223,6.542948391,10.16621626,12.42757258,11.67638433,-2.743708591,2.440185405,1
-424.143084,-34.1072536,-4.74658402,-10.99957778,-38.81407511,9.655152259,-7.609990423,-18.46270367,-6.862332591,-5.704618995,1
